[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:00", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 8, "gmm_seed": 1, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.13127413127413126, "normal_loose_rate": 0.12934362934362933, "normal_a8_rate": 0.03861003861003861, "n_missed": 30, "missed_far": 10, "missed_loose": 9, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 2.319402985074627, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6480261683918088, "expected": 0.6595868620334274, "transition": 0.6833355737778376}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.5968529222864483, "expected": 0.6633911368015415, "transition": 0.6374438021836867}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:02", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 8, "gmm_seed": 2, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.08494208494208494, "normal_loose_rate": 0.08494208494208494, "normal_a8_rate": 0.04054054054054054, "n_missed": 30, "missed_far": 14, "missed_loose": 14, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 5.493939393939394, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.676972711385939, "expected": 0.734865797374199, "transition": 0.7168974324505981}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6257546563904945, "expected": 0.7292228644829801, "transition": 0.6659601798330121}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:02", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 8, "gmm_seed": 2, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.1525096525096525, "normal_loose_rate": 0.1525096525096525, "normal_a8_rate": 0.06563706563706563, "n_missed": 30, "missed_far": 12, "missed_loose": 12, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 2.6227848101265825, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.676972711385939, "expected": 0.689922480620155, "transition": 0.7181520813729443}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6257546563904945, "expected": 0.6836865767501605, "transition": 0.6687219010918434}, "auroc_hard_fused":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:05", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 16, "gmm_seed": 0, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.14864864864864866, "normal_loose_rate": 0.138996138996139, "normal_a8_rate": 0.0637065637065637, "n_missed": 30, "missed_far": 15, "missed_loose": 11, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 2.6379629629629626, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7067258144015772, "expected": 0.729040641663306, "transition": 0.7151050768472464}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6695568400770713, "expected": 0.7421323057161207, "transition": 0.6565831727681439}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:06", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 16, "gmm_seed": 0, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.2335907335907336, "normal_loose_rate": 0.2277992277992278, "normal_a8_rate": 0.09845559845559845, "n_missed": 30, "missed_far": 17, "missed_loose": 13, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 1.90225988700565, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7067258144015772, "expected": 0.661199982076444, "transition": 0.7164045346596765}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6695568400770713, "expected": 0.6811175337186898, "transition": 0.6583172768143866}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:07", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 16, "gmm_seed": 1, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.13513513513513514, "normal_loose_rate": 0.12934362934362933, "normal_a8_rate": 0.03861003861003861, "n_missed": 30, "missed_far": 13, "missed_loose": 12, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 3.092537313432836, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7418559842272706, "expected": 0.7328493973204284, "transition": 0.67934758256038}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.7114322414900449, "expected": 0.7271034039820167, "transition": 0.6097623635195889}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:07", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 16, "gmm_seed": 1, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.20077220077220076, "normal_loose_rate": 0.19884169884169883, "normal_a8_rate": 0.06177606177606178, "n_missed": 30, "missed_far": 7, "missed_loose": 6, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.0058252427184466, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7418559842272706, "expected": 0.6399157592866425, "transition": 0.6736120446296546}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.7114322414900449, "expected": 0.6211303789338471, "transition": 0.6026332691072576}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:10", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 16, "gmm_seed": 2, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.11003861003861004, "normal_loose_rate": 0.10424710424710425, "normal_a8_rate": 0.03861003861003861, "n_missed": 30, "missed_far": 15, "missed_loose": 15, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 4.796296296296297, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7622888381054801, "expected": 0.7851861809382982, "transition": 0.6946274140789533}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.7547206165703276, "expected": 0.82286448298009, "transition": 0.6379576107899807}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:10", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 16, "gmm_seed": 2, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.19884169884169883, "normal_loose_rate": 0.19498069498069498, "normal_a8_rate": 0.07722007722007722, "n_missed": 30, "missed_far": 16, "missed_loose": 15, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.5643564356435644, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7622888381054801, "expected": 0.7475915221579962, "transition": 0.6930591029260205}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.7547206165703276, "expected": 0.7514450867052024, "transition": 0.6316634553628774}, "auroc_hard_f
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:14", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 24, "gmm_seed": 0, "rule": "prev", "n_regimes": 23, "normal_far_rate": 0.18532818532818532, "normal_loose_rate": 0.17374517374517376, "normal_a8_rate": 0.05791505791505792, "n_missed": 30, "missed_far": 16, "missed_loose": 15, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.8777777777777778, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7802123941389972, "expected": 0.7564188735045033, "transition": 0.7109378500694538}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.7442517662170842, "expected": 0.7371868978805395, "transition": 0.6529865125240847}, "auroc_hard_f
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:14", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 24, "gmm_seed": 0, "rule": "maj3", "n_regimes": 23, "normal_far_rate": 0.2953667953667954, "normal_loose_rate": 0.2915057915057915, "normal_a8_rate": 0.10617760617760617, "n_missed": 30, "missed_far": 18, "missed_loose": 16, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 1.829580573951435, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7802123941389972, "expected": 0.7097280100371914, "transition": 0.7122373078818838}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.7442517662170842, "expected": 0.7179833012202955, "transition": 0.6570969813744381}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:17", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 24, "gmm_seed": 1, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.1891891891891892, "normal_loose_rate": 0.1718146718146718, "normal_a8_rate": 0.0637065637065637, "n_missed": 30, "missed_far": 16, "missed_loose": 16, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 3.104119850187266, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7695926871891383, "expected": 0.7526549267374647, "transition": 0.7325357350898417}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.737315350032113, "expected": 0.7509312780989081, "transition": 0.6800899165061015}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:17", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 24, "gmm_seed": 1, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.3185328185328185, "normal_loose_rate": 0.3108108108108108, "normal_a8_rate": 0.12355212355212356, "n_missed": 30, "missed_far": 19, "missed_loose": 18, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 1.9304347826086956, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7695926871891383, "expected": 0.7054263565891472, "transition": 0.729892010574898}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.737315350032113, "expected": 0.711175337186898, "transition": 0.6804752729608221}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:19", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 24, "gmm_seed": 2, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.1718146718146718, "normal_loose_rate": 0.1583011583011583, "normal_a8_rate": 0.052123552123552123, "n_missed": 30, "missed_far": 13, "missed_loose": 13, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.73739837398374, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6795268181207151, "expected": 0.6982569341757405, "transition": 0.7093247300264373}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6281952472703918, "expected": 0.697238278741169, "transition": 0.6666666666666667}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:19", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 24, "gmm_seed": 2, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.2799227799227799, "normal_loose_rate": 0.27413127413127414, "normal_a8_rate": 0.0888030888030888, "n_missed": 30, "missed_far": 16, "missed_loose": 16, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 1.9455399061032863, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6795268181207151, "expected": 0.6960612985616347, "transition": 0.7189586413944526}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6281952472703918, "expected": 0.679640333975594, "transition": 0.6748876043673732}, "auroc_hard_fuse
