[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:00", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 8, "gmm_seed": 1, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.13127413127413126, "normal_loose_rate": 0.12934362934362933, "normal_a8_rate": 0.03861003861003861, "n_missed": 25, "missed_far": 7, "missed_loose": 7, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 2.1647761194029855, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6480261683918088, "expected": 0.6595868620334274, "transition": 0.6833355737778376}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.522466281310212, "expected": 0.6218111753371869, "transition": 0.5798843930635839}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:02", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 8, "gmm_seed": 2, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.08494208494208494, "normal_loose_rate": 0.08494208494208494, "normal_a8_rate": 0.04054054054054054, "n_missed": 25, "missed_far": 12, "missed_loose": 12, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 5.650909090909091, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.676972711385939, "expected": 0.734865797374199, "transition": 0.7168974324505981}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5550674373795761, "expected": 0.6891714836223507, "transition": 0.6154142581888247}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:02", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 8, "gmm_seed": 2, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.1525096525096525, "normal_loose_rate": 0.1525096525096525, "normal_a8_rate": 0.06563706563706563, "n_missed": 25, "missed_far": 11, "missed_loose": 11, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 2.8850632911392404, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.676972711385939, "expected": 0.689922480620155, "transition": 0.7181520813729443}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5550674373795761, "expected": 0.653179190751445, "transition": 0.6203468208092485}, "auroc_hard_fused": 
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:05", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 16, "gmm_seed": 0, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.14864864864864866, "normal_loose_rate": 0.138996138996139, "normal_a8_rate": 0.0637065637065637, "n_missed": 25, "missed_far": 11, "missed_loose": 11, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 3.1655555555555557, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7067258144015772, "expected": 0.729040641663306, "transition": 0.7151050768472464}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6086319845857419, "expected": 0.7128323699421966, "transition": 0.5975337186897881}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:05", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 16, "gmm_seed": 0, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.2335907335907336, "normal_loose_rate": 0.2277992277992278, "normal_a8_rate": 0.09845559845559845, "n_missed": 25, "missed_far": 13, "missed_loose": 13, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 2.28271186440678, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7067258144015772, "expected": 0.661199982076444, "transition": 0.7164045346596765}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6086319845857419, "expected": 0.6530250481695569, "transition": 0.6005394990366089}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:07", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 16, "gmm_seed": 1, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.13513513513513514, "normal_loose_rate": 0.12934362934362933, "normal_a8_rate": 0.03861003861003861, "n_missed": 25, "missed_far": 10, "missed_loose": 10, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 3.092537313432836, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7418559842272706, "expected": 0.7328493973204284, "transition": 0.67934758256038}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6635838150289017, "expected": 0.7016570327552987, "transition": 0.5547591522157996}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:07", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 16, "gmm_seed": 1, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.20077220077220076, "normal_loose_rate": 0.19884169884169883, "normal_a8_rate": 0.06177606177606178, "n_missed": 25, "missed_far": 5, "missed_loose": 5, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.0058252427184466, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7418559842272706, "expected": 0.6399157592866425, "transition": 0.6736120446296546}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6635838150289017, "expected": 0.5960693641618497, "transition": 0.548131021194605}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:10", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 16, "gmm_seed": 2, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.11003861003861004, "normal_loose_rate": 0.10424710424710425, "normal_a8_rate": 0.03861003861003861, "n_missed": 25, "missed_far": 11, "missed_loose": 11, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 4.220740740740741, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7622888381054801, "expected": 0.7851861809382982, "transition": 0.6946274140789533}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.7126782273603083, "expected": 0.8037764932562621, "transition": 0.5811946050096339}, "auroc_hard_fu
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:10", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 16, "gmm_seed": 2, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.19884169884169883, "normal_loose_rate": 0.19498069498069498, "normal_a8_rate": 0.07722007722007722, "n_missed": 25, "missed_far": 12, "missed_loose": 12, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.4617821782178217, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7622888381054801, "expected": 0.7475915221579962, "transition": 0.6930591029260205}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.7126782273603083, "expected": 0.7320231213872832, "transition": 0.5740269749518305}, "auroc_hard_f
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:14", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 24, "gmm_seed": 0, "rule": "prev", "n_regimes": 23, "normal_far_rate": 0.18532818532818532, "normal_loose_rate": 0.17374517374517376, "normal_a8_rate": 0.05791505791505792, "n_missed": 25, "missed_far": 11, "missed_loose": 11, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.5324444444444443, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7802123941389972, "expected": 0.7564188735045033, "transition": 0.7109378500694538}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.698728323699422, "expected": 0.699344894026975, "transition": 0.5907514450867052}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:14", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 24, "gmm_seed": 0, "rule": "maj3", "n_regimes": 23, "normal_far_rate": 0.2953667953667954, "normal_loose_rate": 0.2915057915057915, "normal_a8_rate": 0.10617760617760617, "n_missed": 25, "missed_far": 13, "missed_loose": 13, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 1.7838410596026493, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7802123941389972, "expected": 0.7097280100371914, "transition": 0.7122373078818838}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.698728323699422, "expected": 0.6972639691714837, "transition": 0.5961464354527938}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:17", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 24, "gmm_seed": 1, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.1891891891891892, "normal_loose_rate": 0.1718146718146718, "normal_a8_rate": 0.0637065637065637, "n_missed": 25, "missed_far": 11, "missed_loose": 11, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 2.5608988764044947, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7695926871891383, "expected": 0.7526549267374647, "transition": 0.7325357350898417}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6880924855491329, "expected": 0.7173025048169557, "transition": 0.6202697495183045}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:17", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 24, "gmm_seed": 1, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.3185328185328185, "normal_loose_rate": 0.3108108108108108, "normal_a8_rate": 0.12355212355212356, "n_missed": 25, "missed_far": 14, "missed_loose": 14, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 1.8017391304347827, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7695926871891383, "expected": 0.7054263565891472, "transition": 0.729892010574898}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6880924855491329, "expected": 0.6870905587668594, "transition": 0.6219653179190753}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:19", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 24, "gmm_seed": 2, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.1718146718146718, "normal_loose_rate": 0.1583011583011583, "normal_a8_rate": 0.052123552123552123, "n_missed": 25, "missed_far": 7, "missed_loose": 7, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.7687804878048783, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6795268181207151, "expected": 0.6982569341757405, "transition": 0.7093247300264373}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5546050096339115, "expected": 0.6440077071290944, "transition": 0.601849710982659}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:19", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 24, "gmm_seed": 2, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.2799227799227799, "normal_loose_rate": 0.27413127413127414, "normal_a8_rate": 0.0888030888030888, "n_missed": 25, "missed_far": 10, "missed_loose": 10, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 1.4591549295774648, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6795268181207151, "expected": 0.6960612985616347, "transition": 0.7189586413944526}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5546050096339115, "expected": 0.6376107899807322, "transition": 0.6124084778420038}, "auroc_hard_fus
