[obs_sweep] {"kind": "obs_sweep", "ts": "10:06:25", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 1, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.10651221924000565, "normal_loose_rate": 0.025639214578330273, "normal_a8_rate": 0.0, "n_missed": 56, "missed_far": 11, "missed_loose": 11, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 7.661255411255411, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.7277247580085118, "expected": 0.8050867982394778, "transition": 0.8128098993655238}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.49154851818612677, "expected": 0.5601397614173784, "transition": 0.5607586544182154}, "auroc_hard_fused": {"zsum_exp": 0.84
[obs_sweep] {"kind": "obs_sweep", "ts": "10:06:33", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 2, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.10827800536798983, "normal_loose_rate": 0.043579601638649525, "normal_a8_rate": 0.012925554456844186, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6649656852033211, "expected": 0.6839674219711913, "transition": 0.7985433805220785}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.28808019643235283, "expected": 0.2791081386320322, "transition": 0.5586662666760782}, "auroc_hard_fused": {"zsum_exp": 0.7
[obs_sweep] {"kind": "obs_sweep", "ts": "10:06:34", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 2, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.13236332815369403, "normal_loose_rate": 0.0687950275462636, "normal_a8_rate": 0.019706173188303432, "n_missed": 56, "missed_far": 4, "missed_loose": 4, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 1.038281020827222, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6649656852033211, "expected": 0.6913523838185138, "transition": 0.7982745597954934}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.28808019643235283, "expected": 0.31574887313575817, "transition": 0.5581822444513911}, "auroc_hard_fused": {"z
[obs_sweep] {"kind": "obs_sweep", "ts": "10:06:58", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 0, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.00028252578047746857, "normal_loose_rate": 0.0, "normal_a8_rate": 0.0, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6228037325504281, "expected": 0.6227935883720666, "transition": 0.7970674025704502}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3413031037925158, "expected": 0.34134595992699335, "transition": 0.5464686545190534}, "auroc_hard_fused": {"zsum_exp": 0.7723196227718205, "zsum_trans"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:06:59", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 0, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.00028252578047746857, "normal_loose_rate": 0.0, "normal_a8_rate": 0.0, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6228037325504281, "expected": 0.6230078841399576, "transition": 0.7970504956065142}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3413031037925158, "expected": 0.34143041172140487, "transition": 0.5464182355373151}, "auroc_hard_fused": {"zsum_exp": 0.7726936893489085, "zsum_trans"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:07:13", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 1, "rule": "prev", "n_regimes": 15, "normal_far_rate": 0.06455714083910156, "normal_loose_rate": 0.0068512501765786125, "normal_a8_rate": 0.00247210057917785, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6826036639926896, "expected": 0.688201559751958, "transition": 0.8139215322443276}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3214752089866793, "expected": 0.3115792233460053, "transition": 0.5582314029585859}, "auroc_hard_fused": {"zsum_exp": 0.7
[obs_sweep] {"kind": "obs_sweep", "ts": "10:07:13", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 1, "rule": "maj3", "n_regimes": 15, "normal_far_rate": 0.06554598107077271, "normal_loose_rate": 0.008263879078965955, "normal_a8_rate": 0.0032490464754908886, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6826036639926896, "expected": 0.6912295969929274, "transition": 0.8138378427728434}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3214752089866793, "expected": 0.3140547953493531, "transition": 0.5578608234428097}, "auroc_hard_fused": {"zsum_exp": 0
[obs_sweep] {"kind": "obs_sweep", "ts": "10:07:33", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 2, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.07649385506427461, "normal_loose_rate": 0.01681028393840938, "normal_a8_rate": 0.0036728351462070913, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6734060642743595, "expected": 0.7081912972248486, "transition": 0.7997568778585977}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3423360626808781, "expected": 0.3408953402777078, "transition": 0.5541512468614185}, "auroc_hard_fused": {"zsum_exp": 0.
[obs_sweep] {"kind": "obs_sweep", "ts": "10:07:33", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 2, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.08249752789942082, "normal_loose_rate": 0.02352027122474926, "normal_a8_rate": 0.005367989829071903, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6734060642743595, "expected": 0.7078286428484176, "transition": 0.799452975181845}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3423360626808781, "expected": 0.3433343585192953, "transition": 0.5532916032227813}, "auroc_hard_fused": {"zsum_exp": 0.78
[obs_sweep] {"kind": "obs_sweep", "ts": "10:08:22", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 0, "rule": "prev", "n_regimes": 22, "normal_far_rate": 0.11230399773979376, "normal_loose_rate": 0.00642746150586241, "normal_a8_rate": 0.0019070490182229128, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6724820986952473, "expected": 0.6675824605465429, "transition": 0.8099483957193258}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3481090360899071, "expected": 0.3389983260898063, "transition": 0.5832291341044077}, "auroc_hard_fused": {"zsum_exp": 0.
[obs_sweep] {"kind": "obs_sweep", "ts": "10:08:22", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 0, "rule": "maj3", "n_regimes": 22, "normal_far_rate": 0.11251589207515186, "normal_loose_rate": 0.007133775957056081, "normal_a8_rate": 0.0012007345670292414, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6724820986952473, "expected": 0.6716151941194197, "transition": 0.810058290984911}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3481090360899071, "expected": 0.342167159092055, "transition": 0.5828295636741321}, "auroc_hard_fused": {"zsum_exp": 0.7
[obs_sweep] {"kind": "obs_sweep", "ts": "10:08:56", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 1, "rule": "prev", "n_regimes": 23, "normal_far_rate": 0.06886565899138296, "normal_loose_rate": 0.007557564627772284, "normal_a8_rate": 0.0026133634694165842, "n_missed": 56, "missed_far": 1, "missed_loose": 1, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 2.3628170894526033, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6936859675158049, "expected": 0.7229472726742463, "transition": 0.8080645372627372}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3602297592997812, "expected": 0.3680484828928395, "transition": 0.5400087224838407}, "auroc_hard_fused":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:08:56", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 1, "rule": "maj3", "n_regimes": 23, "normal_far_rate": 0.07006639355841221, "normal_loose_rate": 0.00939398220087583, "normal_a8_rate": 0.0022602062438197485, "n_missed": 56, "missed_far": 1, "missed_loose": 1, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 1.9009129967776583, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6936859675158049, "expected": 0.7228775314480096, "transition": 0.8078160048928753}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3602297592997812, "expected": 0.3689799735804536, "transition": 0.5392789077231797}, "auroc_hard_fused": 
[obs_sweep] {"kind": "obs_sweep", "ts": "10:09:28", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 2, "rule": "prev", "n_regimes": 22, "normal_far_rate": 0.15185760700663936, "normal_loose_rate": 0.017657861279841786, "normal_a8_rate": 0.0018364175731035457, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.7405005053068845, "expected": 0.7455248323146184, "transition": 0.7793510177358277}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.5049473625830653, "expected": 0.4923615242666559, "transition": 0.5490513668585949}, "auroc_hard_fused": {"zsum_exp": 0
[obs_sweep] {"kind": "obs_sweep", "ts": "10:09:28", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 2, "rule": "maj3", "n_regimes": 22, "normal_far_rate": 0.15383528746998162, "normal_loose_rate": 0.022107642322361915, "normal_a8_rate": 0.00148326034750671, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.7405005053068845, "expected": 0.7444351784889316, "transition": 0.7793548218027134}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.5049473625830653, "expected": 0.48734105416007023, "transition": 0.5483757525033024}, "auroc_hard_fused": {"zsum_exp": 0.
