[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:57", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 0, "rule": "maj3", "n_regimes": 11, "normal_far_rate": 0.3832145684877276, "normal_loose_rate": 0.3824228028503563, "normal_a8_rate": 0.21140142517814728, "n_missed": 33, "missed_far": 14, "missed_loose": 14, "missed_a8": 3, "missed_no_ctx": 0, "enrichment_loose": 1.1093544137022397, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7424598930481285, "expected": 0.6646361311322948, "transition": 0.7709555917228552}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.577506288178225, "expected": 0.6122409869445442, "transition": 0.5705593484249611}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:59", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 1, "rule": "prev", "n_regimes": 11, "normal_far_rate": 0.25653206650831356, "normal_loose_rate": 0.2509897070467142, "normal_a8_rate": 0.11559778305621536, "n_missed": 33, "missed_far": 11, "missed_loose": 11, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 1.3280757097791795, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7867937688909555, "expected": 0.7584747733085329, "transition": 0.7702208788653802}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.597532638639358, "expected": 0.6692538028506408, "transition": 0.535225775541981}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:59", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 1, "rule": "maj3", "n_regimes": 11, "normal_far_rate": 0.47030878859857483, "normal_loose_rate": 0.46872525732383213, "normal_a8_rate": 0.24069675376088678, "n_missed": 33, "missed_far": 18, "missed_loose": 18, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 1.1636977886977886, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7867937688909555, "expected": 0.6599581492676121, "transition": 0.7711973959544292}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.597532638639358, "expected": 0.5945143130913881, "transition": 0.5409510120972572}, "auroc_hard_fu
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:02", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 2, "rule": "prev", "n_regimes": 10, "normal_far_rate": 0.24782264449722882, "normal_loose_rate": 0.23990498812351543, "normal_a8_rate": 0.0728424386381631, "n_missed": 33, "missed_far": 16, "missed_loose": 16, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 2.021002100210021, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.8117926063706115, "expected": 0.8078214368751453, "transition": 0.8236317135549872}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5950413223140497, "expected": 0.6737094262785962, "transition": 0.5979398730386872}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:02", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 2, "rule": "maj3", "n_regimes": 10, "normal_far_rate": 0.4734758511480602, "normal_loose_rate": 0.46872525732383213, "normal_a8_rate": 0.166270783847981, "n_missed": 33, "missed_far": 21, "missed_loose": 21, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 1.3576474201474202, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.8117926063706115, "expected": 0.7159823296907696, "transition": 0.819967449430365}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5950413223140497, "expected": 0.6127679961672057, "transition": 0.5934602946460654}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:04", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 0, "rule": "prev", "n_regimes": 17, "normal_far_rate": 0.4615993665874901, "normal_loose_rate": 0.45209817893903403, "normal_a8_rate": 0.1995249406175772, "n_missed": 33, "missed_far": 25, "missed_loose": 24, "missed_a8": 6, "missed_no_ctx": 0, "enrichment_loose": 1.608661041235472, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.818191118344571, "expected": 0.7710671936758893, "transition": 0.840613810741688}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.6166726554078333, "expected": 0.6701880464726315, "transition": 0.6345430590489879}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:04", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 0, "rule": "maj3", "n_regimes": 17, "normal_far_rate": 0.7838479809976246, "normal_loose_rate": 0.779889152810768, "normal_a8_rate": 0.3998416468725257, "n_missed": 33, "missed_far": 30, "missed_loose": 29, "missed_a8": 8, "missed_no_ctx": 0, "enrichment_loose": 1.1268112598061837, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.818191118344571, "expected": 0.6937363403859568, "transition": 0.8441199720995116}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.6166726554078333, "expected": 0.6449395137142173, "transition": 0.6402203856749311}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:08", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 1, "rule": "prev", "n_regimes": 18, "normal_far_rate": 0.42280285035629456, "normal_loose_rate": 0.41250989707046715, "normal_a8_rate": 0.16864608076009502, "n_missed": 33, "missed_far": 24, "missed_loose": 23, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 1.6895829698132963, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.8356754243199257, "expected": 0.7850267379679143, "transition": 0.8297233201581028}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.623044676009103, "expected": 0.6953647143370463, "transition": 0.6094622110432387}, "auroc_hard_fu
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:08", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 1, "rule": "maj3", "n_regimes": 18, "normal_far_rate": 0.7379255740300871, "normal_loose_rate": 0.7339667458432304, "normal_a8_rate": 0.36262866191607285, "n_missed": 33, "missed_far": 28, "missed_loose": 27, "missed_a8": 6, "missed_no_ctx": 0, "enrichment_loose": 1.114739629302736, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.8356754243199257, "expected": 0.7107370378981632, "transition": 0.8329597767960939}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.623044676009103, "expected": 0.638974727512277, "transition": 0.6175350341358247}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:12", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 2, "rule": "prev", "n_regimes": 17, "normal_far_rate": 0.5043547110055424, "normal_loose_rate": 0.49802058590657167, "normal_a8_rate": 0.17735550277117973, "n_missed": 33, "missed_far": 24, "missed_loose": 24, "missed_a8": 9, "missed_no_ctx": 0, "enrichment_loose": 1.460326636797225, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.819781446175308, "expected": 0.7393350383631714, "transition": 0.8177168100441757}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5947059528087195, "expected": 0.6425200622829081, "transition": 0.583111749910169}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:12", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 24, "gmm_seed": 2, "rule": "maj3", "n_regimes": 17, "normal_far_rate": 0.7949326999208234, "normal_loose_rate": 0.7925574030087095, "normal_a8_rate": 0.3515439429928741, "n_missed": 33, "missed_far": 29, "missed_loose": 29, "missed_a8": 9, "missed_no_ctx": 0, "enrichment_loose": 1.1088002906184724, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.819781446175308, "expected": 0.6473378284119972, "transition": 0.8189351313647989}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5947059528087195, "expected": 0.5859863456701401, "transition": 0.5832075697688346}, "auroc_hard_fused
